tx	gene_id	MCIC_FC_2024_111	MCIC_FD_2024_105	MCIC_FD_2024_204	MCIC_MD_2024_109	MCIC_MD_2024_113	MCIC_MD_2024_116
gnl|WGS:JAKSZP|L0F63_000001-T1_mrna	L0F63_000001	860.668	859.478	863.583	860.096	857.099	853.527
gnl|WGS:JAKSZP|L0F63_000002-T1_mrna	L0F63_000002	1013.668	1012.478	1016.583	1013.096	1010.099	1006.527
unassigned_transcript_1	L0F63_000003	8.577	8.23	8.302	8.506	8.471	8.673
unassigned_transcript_2	L0F63_000004	8.425	8.064	8.197	8.416	8.327	8.578
unassigned_transcript_3	L0F63_000005	8.899	8.691	8.807	8.856	8.874	9.059
unassigned_transcript_4	L0F63_000043	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_000079-T1_mrna	L0F63_000079	659.669	658.478	662.585	659.096	656.101	652.528
unassigned_transcript_5	L0F63_000080	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_000081-T1_mrna	L0F63_000081	4565.668	4564.478	4568.583	4565.096	4562.099	4558.527
gnl|WGS:JAKSZP|L0F63_000082-T1_mrna	L0F63_000082	413.687	412.513	416.612	413.119	410.135	406.619
gnl|WGS:JAKSZP|L0F63_000113-T1_mrna	L0F63_000113	2312.668	2311.478	2315.583	2312.096	2309.099	2305.527
gnl|WGS:JAKSZP|L0F63_000114-T1_mrna	L0F63_000114	941.668	940.478	944.583	941.096	938.099	934.527
gnl|WGS:JAKSZP|L0F63_000144-T1_mrna	L0F63_000144	181.984	181.044	184.592	181.542	178.967	176.562
gnl|WGS:JAKSZP|L0F63_000145-T1_mrna	L0F63_000145	557.67	556.487	560.589	557.096	554.103	550.535
gnl|WGS:JAKSZP|L0F63_000176-T1_mrna	L0F63_000176	1391.668	1390.478	1394.583	1391.096	1388.099	1384.527
gnl|WGS:JAKSZP|L0F63_000205-T1_mrna	L0F63_000205	953.668	952.478	956.583	953.096	950.099	946.527
gnl|WGS:JAKSZP|L0F63_000206-T1_mrna	L0F63_000206	1853.668	1852.478	1856.583	1853.096	1850.099	1846.527
unassigned_transcript_6	L0F63_000265	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_000294-T1_mrna	L0F63_000294	1408.668	1407.478	1411.583	1408.096	1405.099	1401.527
gnl|WGS:JAKSZP|L0F63_000295-T1_mrna	L0F63_000295	211.002	209.992	213.724	210.52	207.819	205.083
gnl|WGS:JAKSZP|L0F63_000296-T1_mrna	L0F63_000296	497.675	496.491	500.591	497.102	494.107	490.55
unassigned_transcript_7	L0F63_000320	8.425	8.064	8.197	8.416	8.327	8.578
unassigned_transcript_8	L0F63_000378	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_000402-T1_mrna	L0F63_000402	2894.668	2893.478	2897.583	2894.096	2891.099	2887.527
gnl|WGS:JAKSZP|L0F63_000427-T1_mrna	L0F63_000427	653.669	652.478	656.585	653.096	650.101	646.528
gnl|WGS:JAKSZP|L0F63_000428-T1_mrna	L0F63_000428	1400.668	1399.478	1403.583	1400.096	1397.099	1393.527
unassigned_transcript_9	L0F63_000443	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_000469-T1_mrna	L0F63_000469	716.669	715.478	719.585	716.096	713.099	709.527
gnl|WGS:JAKSZP|L0F63_000497-T1_mrna	L0F63_000497	312.85	311.673	315.725	312.314	309.357	306.054
unassigned_transcript_10	L0F63_000520	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_000545-T1_mrna	L0F63_000545	283	281.844	285.865	282.469	279.541	276.366
gnl|WGS:JAKSZP|L0F63_000565-T1_mrna	L0F63_000565	1046.668	1045.478	1049.583	1046.096	1043.099	1039.527
