gene_id	gene_name	MCIC_FC_2024_111	MCIC_FD_2024_105	MCIC_FD_2024_204	MCIC_MD_2024_109	MCIC_MD_2024_113	MCIC_MD_2024_116
L0F63_000001	L0F63_000001	860.668	859.478	863.583	860.096	857.099	853.527
L0F63_000002	L0F63_000002	1013.668	1012.478	1016.583	1013.096	1010.099	1006.527
L0F63_000003	L0F63_000003	8.45983333333333	8.45983333333333	8.45983333333333	8.45983333333333	8.45983333333333	8.45983333333333
L0F63_000004	L0F63_000004	8.3345	8.3345	8.3345	8.3345	8.3345	8.3345
L0F63_000005	L0F63_000005	8.86433333333333	8.86433333333333	8.86433333333333	8.86433333333333	8.86433333333333	8.86433333333333
L0F63_000006	L0F63_000006	8.45983333333333	8.45983333333333	8.45983333333333	8.45983333333333	8.45983333333333	8.45983333333333
L0F63_000007	L0F63_000007	75.1203176910215	74.955	75.1203176910215	75.286	75.1203176910215	75.1203176910215
L0F63_000008	L0F63_000008	1067.668	1066.478	1067.08055602009	1067.096	1067.08055602009	1067.08055602009
L0F63_000009	L0F63_000009	128.721	128.026	131	128.521	126.253	124.632
L0F63_000010	L0F63_000010	110.061	109.505	112.162	109.978	107.896	106.564
L0F63_000011	L0F63_000011	8.86433333333333	8.86433333333333	8.86433333333333	8.86433333333333	8.86433333333333	8.86433333333333
L0F63_000012	L0F63_000012	434.681	433.008576958753	437.603	434.111	431.124	427.591
L0F63_000013	L0F63_000013	1262.668	1261.478	1265.583	1262.096	1259.099	1255.527
L0F63_000014	L0F63_000014	902.668	901.478	905.583	902.096	899.099	895.527
L0F63_000015	L0F63_000015	81.8926666666667	81.8926666666667	81.8926666666667	81.8926666666667	81.8926666666667	81.8926666666667
L0F63_000016	L0F63_000016	662.669	661.478	665.585	662.096	659.101	655.528
L0F63_000017	L0F63_000017	1616.668	1615.478	1619.583	1616.096	1613.099	1609.527
L0F63_000018	L0F63_000018	52.977	52.815	54.243	53.024	51.967	51.555
L0F63_000019	L0F63_000019	59.431	59.23	60.784	59.432	58.239	57.703
L0F63_000020	L0F63_000020	9.377	9.377	9.377	9.377	9.377	9.377
L0F63_000021	L0F63_000021	2867.668	2866.478	2870.583	2867.096	2864.099	2860.527
L0F63_000022	L0F63_000022	8.3345	8.3345	8.3345	8.3345	8.3345	8.3345
L0F63_000023	L0F63_000023	54.1605	54.1605	54.1605	54.1605	54.1605	54.1605
L0F63_000024	L0F63_000024	142.412	141.628	144.844	142.134	139.765	137.922
L0F63_000025	L0F63_000025	558.67	557.486	561.589	558.096	555.103	551.535
L0F63_000026	L0F63_000026	8.3345	8.3345	8.3345	8.3345	8.3345	8.3345
L0F63_000027	L0F63_000027	650.669	649.478	653.585	650.096	647.102	643.528
L0F63_000028	L0F63_000028	141.450833333333	141.450833333333	141.450833333333	141.450833333333	141.450833333333	141.450833333333
L0F63_000029	L0F63_000029	8.3345	8.3345	8.3345	8.3345	8.3345	8.3345
L0F63_000030	L0F63_000030	809.669	808.478	812.583	809.096	806.099	802.527
L0F63_000031	L0F63_000031	6983.668	6982.478	6986.583	6983.096	6980.099	6976.527
L0F63_000032	L0F63_000032	1166.668	1165.478	1169.583	1166.096	1163.099	1159.527
L0F63_000033	L0F63_000033	160.108	159.234	162.642	159.769	157.297	155.183
