task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	78/89a7cb	978441	NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (GCA_022478985.1_UCR_MCPNR19_1.0_genomic.fna)	COMPLETED	0	2025-09-02 11:20:59.268	6.2s	5s	76.4%	22.6 MB	40.4 MB	1.4 GB	30.4 MB
1	53/88fd77	978464	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GCA_022478985.1_UCR_MCPNR19_1.0_genomic.fna)	COMPLETED	0	2025-09-02 11:20:59.293	7.1s	5s	97.7%	8.1 MB	12.8 MB	1.4 GB	1.2 MB
4	4b/581d69	978443	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (MCIC_FD_2024_204)	COMPLETED	0	2025-09-02 11:20:59.274	1m 11s	1m 10s	99.2%	76.8 MB	80.1 MB	3.1 GB	1.9 KB
10	ed/5c5bcc	989330	NFCORE_RNASEQ:PREPARE_GENOME:GTF2BED (GCA_022478985.1_UCR_MCPNR19_1.0_genomic.filtered.gtf)	COMPLETED	0	2025-09-02 11:22:10.554	2.5s	0ms	96.1%	4.1 MB	26.4 MB	30.6 MB	819.8 KB
5	7e/209dee	978431	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (MCIC_FC_2024_111)	COMPLETED	0	2025-09-02 11:20:59.251	1m 14s	1m 13s	99.2%	76.5 MB	80.1 MB	3.3 GB	1.9 KB
8	53/05c874	978472	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (MCIC_MD_2024_109)	COMPLETED	0	2025-09-02 11:20:59.299	1m 19s	1m 17s	99.1%	76.7 MB	80.1 MB	3.4 GB	1.9 KB
3	c2/49ef3e	978461	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (MCIC_FD_2024_105)	COMPLETED	0	2025-09-02 11:20:59.287	1m 30s	1m 29s	99.1%	76.4 MB	80.1 MB	3.9 GB	1.9 KB
6	73/e72b98	978433	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (MCIC_MD_2024_113)	COMPLETED	0	2025-09-02 11:20:59.261	1m 32s	1m 30s	99.1%	76.8 MB	80.2 MB	3.9 GB	1.9 KB
7	f8/e3198d	978452	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (MCIC_MD_2024_116)	COMPLETED	0	2025-09-02 11:20:59.280	1m 43s	1m 41s	99.1%	76.8 MB	80.1 MB	3.9 GB	1.9 KB
9	83/bea7b9	991675	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/GCA_022478985.1_UCR_MCPNR19_1.0_genomic.fna)	COMPLETED	0	2025-09-02 11:22:42.464	27.2s	26.3s	97.6%	43.5 MB	51.2 MB	1.5 GB	38.6 MB
