.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
MCIC_FC_2024_111_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
MCIC_FC_2024_111_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	1
MCIC_FD_2024_105_1	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	1
MCIC_FD_2024_105_2	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.5	1
MCIC_FD_2024_204_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	1
MCIC_FD_2024_204_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	1
MCIC_MD_2024_109_1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
MCIC_MD_2024_109_2	1	1	0.25	1	0.5	1	1	0.5	0.25	0.5	1
MCIC_MD_2024_113_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
MCIC_MD_2024_113_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
MCIC_MD_2024_116_1	1	1	0.25	1	0.5	1	1	0.5	0.25	0.5	1
MCIC_MD_2024_116_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	1
