Sample	custom_content_dupradar-dupRadar_intercept	picard_mark_duplicates-PERCENT_DUPLICATION	qualimap_rnaseq-5_3_bias	qualimap_rnaseq-reads_aligned	qualimap_rnaseq-reads_aligned_exonic	qualimap_rnaseq-reads_aligned_intronic	qualimap_rnaseq-reads_aligned_intergenic	qualimap_rnaseq-reads_aligned_overlapping_exon	rseqc_bam_stat-proper_pairs_percent	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastqc_raw-percent_duplicates	fastqc_raw-percent_gc	fastqc_raw-avg_sequence_length	fastqc_raw-median_sequence_length	fastqc_raw-percent_fails	fastqc_raw-total_sequences	cutadapt-percent_trimmed	fastqc_trimmed-percent_duplicates	fastqc_trimmed-percent_gc	fastqc_trimmed-avg_sequence_length	fastqc_trimmed-median_sequence_length	fastqc_trimmed-percent_fails	fastqc_trimmed-total_sequences
MCIC_FC_2024_111	0.0415900307171923	42.6983	1.05	17.385089999999998	15.798682	3.671604	7.736655	2.770577	54.07415555874751	0.34846	1.262681	34.772270999999996	100.0	99.99398658776127	0.1305292944484414	34.772270999999996	174.6	36.034952	36.034952	100.0	21.931046	17.387180999999998	79.28	16.974401	77.4	0.41278													
MCIC_FC_2024_111_1																											78.96039603844072	48.0	99.46142131033723	100	27.27272727272727	22.000825	0.2782757751513358	78.92976885735014	48.0	99.38686339903714	100	27.27272727272727	21.931046
MCIC_FC_2024_111_2																											78.64578705292989	48.0	99.45448229782292	100	18.181818181818183	22.000825	0.38644846691359913	78.64792612874417	48.0	99.32611846238433	100	27.27272727272727	21.931046
MCIC_FD_2024_105	0.0463133870595409	35.320800000000006	1.01	20.811695	18.997958999999998	5.186725	9.510045999999999	3.667586	61.36337555641346	0.3380899	1.447956	41.626352999999995	100.0	99.99288191305156	0.17649156052657317	41.626352999999995	181.8	43.074309	43.074309	100.0	25.785581999999998	20.814657999999998	80.72	20.396905999999998	79.1	0.41775199999999996													
MCIC_FD_2024_105_1																											76.92584300309507	49.0	99.62224628346551	100	18.181818181818183	25.837308999999998	0.22938108627774031	76.93441026597387	49.0	99.45651616473113	100	27.27272727272727	25.785581999999998
MCIC_FD_2024_105_2																											76.24459210015996	49.0	99.6098529649508	100	27.27272727272727	25.837308999999998	0.3765225992547689	76.30108264265543	49.0	99.37008507312342	100	36.36363636363637	25.785581999999998
MCIC_FD_2024_204	0.0694846009895885	42.0492	0.97	8.531279	6.981507	1.764626	3.933095	1.34331	55.098496963108936	0.414274	0.5109	17.063651999999998	100.0	99.99358871125595	0.11590719266895504	17.063651999999998	170.2	17.574552	17.574552	100.0	20.589589999999998	8.532373	41.44	8.362688	40.62	0.169685													
MCIC_FD_2024_204_1																											82.08579905548304	48.0	99.18601855769982	100	36.36363636363637	20.732203	0.43874595537484573	82.00198158621058	48.0	99.30403854569226	100	36.36363636363637	20.589589999999998
MCIC_FD_2024_204_2																											81.51927537779704	48.0	99.19550862491555	100	36.36363636363637	20.732203	0.5334294306694963	81.49456843692643	48.0	99.29473695202284	100	36.36363636363637	20.589589999999998
MCIC_MD_2024_109	0.0429413153699718	31.979200000000002	1.07	19.94588	20.729881	5.329867999999999	8.047321	3.795985	65.18658610084124	0.29886240000000003	1.0356239999999999	39.89422	100.0	99.99383369320168	0.0969889873771188	39.89422	183.3	40.929843999999996	40.929843999999996	100.0	22.940752999999997	19.948339999999998	86.96	19.600027	85.44	0.348313													
