Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
L0F63_000003	-	JAKSZP010000001.1	+	186320	186393	0.000000	0.000000	0.000000
L0F63_000079	IST1	JAKSZP010000003.1	-	129945	131226	60.776970	22.998686	33.476921
L0F63_000001	NOP13	JAKSZP010000001.1	-	56387	57519	63.194931	23.913670	34.808777
L0F63_000002	DBP8	JAKSZP010000001.1	-	172695	174161	113.441475	42.927525	62.485371
L0F63_000113	-	JAKSZP010000004.1	-	74574	77281	220.733047	83.527855	121.583275
L0F63_000144	-	JAKSZP010000005.1	-	93255	93642	9.492754	3.592165	5.228760
L0F63_000081	HIR3	JAKSZP010000003.1	-	515641	521055	341.202057	129.114670	187.939529
L0F63_000082	-	JAKSZP010000003.1	-	521150	522467	47.181778	17.854113	25.988474
L0F63_000145	-	JAKSZP010000005.1	-	330890	331865	8.291840	3.137725	4.567277
L0F63_000114	-	JAKSZP010000004.1	+	290368	291813	287.027100	108.614265	158.099106
L0F63_000205	CNS1	JAKSZP010000007.1	-	183195	184494	39.757820	15.044805	21.899240
L0F63_000176	CCT5	JAKSZP010000006.1	+	209380	211356	190.374435	72.039818	104.861275
L0F63_000206	-	JAKSZP010000007.1	-	246953	249378	149.767700	56.673775	82.494431
L0F63_000294	-	JAKSZP010000010.1	-	94790	96363	167.358963	63.330502	92.183983
L0F63_000402	-	JAKSZP010000014.1	-	66874	70317	56.637257	21.432171	31.196703
L0F63_000443	-	JAKSZP010000016.1	+	290416	290489	1.005947	0.380662	0.554092
L0F63_000469	IWS1	JAKSZP010000017.1	-	290835	291872	194.103180	73.450813	106.915131
L0F63_000428	PCK1	JAKSZP010000015.1	+	205482	207116	971.408020	367.591675	535.067017
L0F63_000497	CHS7_1	JAKSZP010000018.1	-	113453	114391	597.546021	226.118118	329.137878
L0F63_000520	-	JAKSZP010000019.1	+	345910	345983	230.495804	87.222191	126.960762
L0F63_000545	SAP30BP	JAKSZP010000020.1	+	59021	59468	131.569183	49.787251	72.470406
L0F63_000565	STR3	JAKSZP010000021.1	+	68649	70048	127.911713	48.403225	70.455811
L0F63_000566	-	JAKSZP010000021.1	+	96740	96815	0.000000	0.000000	0.000000
L0F63_000567	-	JAKSZP010000021.1	-	263670	263752	0.000000	0.000000	0.000000
L0F63_000568	-	JAKSZP010000021.1	-	319183	319265	0.000000	0.000000	0.000000
L0F63_000606	-	JAKSZP010000023.1	-	199160	199354	0.000000	0.000000	0.000000
L0F63_000607	-	JAKSZP010000023.1	+	199367	202111	79.525162	30.093210	43.803726
L0F63_000633	-	JAKSZP010000024.1	+	55540	57627	253.240082	95.828880	139.488678
L0F63_000658	UGP1	JAKSZP010000025.1	+	113543	115563	443.500000	167.825363	244.286865
L0F63_000713	-	JAKSZP010000028.1	-	199523	201327	0.000000	0.000000	0.000000
L0F63_000732	-	JAKSZP010000029.1	-	52578	52650	5.135815	1.943450	2.828889
L0F63_000733	-	JAKSZP010000029.1	+	198124	201346	21.192091	8.019324	11.672941
L0F63_000690	-	JAKSZP010000027.1	-	256881	259216	237.212769	89.763962	130.660568
L0F63_000742	-	JAKSZP010000030.1	-	277531	280939	22.449322	8.495075	12.365444
L0F63_000790	-	JAKSZP010000032.1	+	61276	61350	0.000000	0.000000	0.000000
L0F63_000792	RHO1_1	JAKSZP010000032.1	-	259332	260003	2.006838	0.759410	1.105398
L0F63_000788	-	JAKSZP010000032.1	+	15254	15929	38.002033	14.380395	20.932125
L0F63_000789	-	JAKSZP010000032.1	-	15945	17457	143.453064	54.284245	79.016228
L0F63_000809	-	JAKSZP010000033.1	-	76327	76927	313.477753	118.623497	172.668549
L0F63_000810	MID1_1	JAKSZP010000033.1	+	156298	157448	107.139442	40.542763	59.014111
L0F63_000811	MID1_2	JAKSZP010000033.1	+	288423	290064	110.696190	41.888676	60.973228
L0F63_000832	MYO2	JAKSZP010000034.1	-	192608	197549	235.341553	89.055878	129.629883
L0F63_000852	RHO1_2	JAKSZP010000035.1	+	60749	61474	2175.600586	823.271606	1198.355469
L0F63_000874	-	JAKSZP010000036.1	+	263270	264053	23.575001	8.921044	12.985486
L0F63_000853	-	JAKSZP010000035.1	-	268807	273597	172.971924	65.454514	95.275688
L0F63_000933	SEC17	JAKSZP010000039.1	-	190894	191972	402.747375	152.404114	221.839661
L0F63_000983	-	JAKSZP010000042.1	+	281391	281463	14.077909	5.327239	7.754337
L0F63_001015	-	JAKSZP010000044.1	-	190888	191541	14.326389	5.421266	7.891203
L0F63_001014	-	JAKSZP010000044.1	-	25037	25880	108.975639	41.237602	60.025520
L0F63_001056	-	JAKSZP010000046.1	+	6708	7728	225.097275	85.179329	123.987167
L0F63_001057	-	JAKSZP010000046.1	+	7777	11883	342.913483	129.762299	188.882202
L0F63_001058	-	JAKSZP010000046.1	-	158707	161271	294.049561	111.271637	161.967194
L0F63_001071	SEC4	JAKSZP010000047.1	+	169314	170068	354.787079	134.255402	195.422379
L0F63_001158	-	JAKSZP010000052.1	+	134301	138890	138.763000	52.509472	76.432877
L0F63_001159	-	JAKSZP010000052.1	+	216229	218288	291.626709	110.354813	160.632645
L0F63_001176	-	JAKSZP010000053.1	+	14197	14482	95.008743	35.952374	52.332329
L0F63_001177	-	JAKSZP010000053.1	+	14553	17838	77.360275	29.273994	42.611271
L0F63_001179	-	JAKSZP010000053.1	+	225162	225234	8.926941	3.378054	4.917101
L0F63_001178	-	JAKSZP010000053.1	+	208311	210170	44.296696	16.762365	24.399326
L0F63_001190	-	JAKSZP010000054.1	-	15	916	613.811523	232.273163	338.097168
L0F63_001205	-	JAKSZP010000055.1	-	179117	180326	1303.039673	493.084808	717.734985
L0F63_001227	PWP2	JAKSZP010000056.1	+	14787	22907	223.954956	84.747063	123.357964
L0F63_001258	PKP2	JAKSZP010000058.1	+	100696	102072	159.829254	60.481182	88.036499
L0F63_001259	-	JAKSZP010000058.1	-	249126	249988	743.342285	281.289032	409.444763
L0F63_001303	-	JAKSZP010000060.1	+	104276	105212	5.002244	1.892905	2.755316
L0F63_001325	GPS1	JAKSZP010000061.1	+	204600	204869	100.072647	37.868610	55.121609
L0F63_001445	-	JAKSZP010000069.1	+	8808	9300	18.490871	6.997153	10.185067
L0F63_001370	-	JAKSZP010000064.1	+	240778	242271	1193.666260	451.696686	657.490417
L0F63_001458	-	JAKSZP010000070.1	+	157143	157220	2.358974	0.892662	1.299361
L0F63_001474	-	JAKSZP010000071.1	-	75346	80641	0.000000	0.000000	0.000000
L0F63_001457	VMA8	JAKSZP010000070.1	+	71953	73043	589.014526	222.889679	324.438599
L0F63_001494	MYL9	JAKSZP010000072.1	-	232515	233396	507.231476	191.942062	279.391174
L0F63_001492	-	JAKSZP010000072.1	+	136552	137361	2297.062012	869.233948	1265.258301
L0F63_001493	-	JAKSZP010000072.1	+	137381	137852	2969.952393	1123.863159	1635.897217
L0F63_001518	NOP4	JAKSZP010000073.1	-	6713	9855	99.883331	37.796970	55.017330
L0F63_001519	-	JAKSZP010000073.1	+	149918	152575	290.872650	110.069466	160.217285
L0F63_001611	-	JAKSZP010000079.1	-	65806	72635	159.825546	60.479774	88.034462
L0F63_001612	-	JAKSZP010000079.1	+	218810	221584	165.106476	62.478142	90.943283
L0F63_001631	-	JAKSZP010000080.1	+	72829	74452	309.585236	117.150520	170.524490
L0F63_001672	MIA40	JAKSZP010000082.1	-	20111	20299	29.788361	11.272249	16.407904
L0F63_001632	-	JAKSZP010000080.1	-	208496	211029	331.470520	125.432152	182.579254
L0F63_001673	ORC3	JAKSZP010000082.1	-	183130	186127	85.192612	32.237839	46.925446
L0F63_001743	-	JAKSZP010000086.1	-	14269	14532	2.560000	0.968733	1.410089
L0F63_001744	-	JAKSZP010000086.1	+	188391	191186	212.611374	80.454521	117.109734
L0F63_001806	-	JAKSZP010000090.1	+	111324	111861	214.610596	81.211052	118.210938
L0F63_001896	-	JAKSZP010000097.1	+	38396	39483	1.656100	0.626687	0.912206
L0F63_001924	-	JAKSZP010000099.1	+	114367	114444	4.025641	1.523348	2.217387
L0F63_001869	-	JAKSZP010000095.1	+	34025	37245	126.074181	47.707882	69.443672
L0F63_001926	-	JAKSZP010000099.1	-	156572	157962	232.596039	88.016945	128.117599
L0F63_001966	-	JAKSZP010000102.1	-	3512	3994	260.560028	98.598831	143.520615
L0F63_001995	-	JAKSZP010000104.1	+	15760	16000	944.966797	357.586029	520.502747
L0F63_002038	-	JAKSZP010000107.1	-	199081	199154	0.000000	0.000000	0.000000
L0F63_002024	-	JAKSZP010000106.1	-	113760	114569	63.724594	24.114100	35.100525
L0F63_002103	-	JAKSZP010000112.1	+	76066	76138	5.941841	2.248459	3.272861
L0F63_002077	-	JAKSZP010000110.1	-	113817	115040	1216.128418	460.196625	669.862915
L0F63_002141	MIC10	JAKSZP010000115.1	-	39090	39459	531.848145	201.257294	292.950439
L0F63_002202	-	JAKSZP010000119.1	+	185526	187324	90.184486	34.126820	49.675053
L0F63_002220	-	JAKSZP010000120.1	-	126919	128375	568.509094	215.130203	313.143890
L0F63_002294	-	JAKSZP010000126.1	+	177886	177961	14.605263	5.526795	8.044811
L0F63_002250	RMD1	JAKSZP010000122.1	-	159239	161037	341.231750	129.125916	187.955887
L0F63_002251	TIF6	JAKSZP010000122.1	+	161418	162509	328.963867	124.483620	181.198547
L0F63_002332	ypt1	JAKSZP010000129.1	+	18930	19394	1332.057861	504.065613	733.718689
L0F63_002417	-	JAKSZP010000136.1	+	149129	149200	2.638889	0.998585	1.453542
L0F63_002406	-	JAKSZP010000135.1	+	157381	159452	219.151001	82.929192	120.711868
L0F63_002441	dpp5	JAKSZP010000138.1	-	116431	118731	273.615204	103.539055	150.711609
L0F63_002453	-	JAKSZP010000139.1	+	71233	72844	255.593613	96.719482	140.785034
L0F63_002454	-	JAKSZP010000139.1	-	118163	120456	225.589508	85.365593	124.258293
L0F63_002500	-	JAKSZP010000143.1	+	84528	84602	4.739262	1.793390	2.610461
L0F63_002560	-	JAKSZP010000148.1	-	79106	79179	0.000000	0.000000	0.000000
L0F63_002467	-	JAKSZP010000140.1	+	96965	97817	739.862610	279.972290	407.528107
L0F63_002573	HGT20	JAKSZP010000149.1	-	139225	140722	654.470886	247.659103	360.493011
L0F63_002594	LST8	JAKSZP010000151.1	+	45201	45765	303.834412	114.974335	167.356827
L0F63_002616	-	JAKSZP010000153.1	-	122044	124091	170.942993	64.686737	94.158127
L0F63_002668	MPE1	JAKSZP010000157.1	-	9757	12844	130.604858	49.422340	71.939240
L0F63_002669	-	JAKSZP010000157.1	+	20878	23733	154.149811	58.332016	84.908173
L0F63_002693	-	JAKSZP010000159.1	+	463	1713	486.387756	184.054565	267.910126
L0F63_002704	-	JAKSZP010000160.1	+	18804	21358	414.442322	156.829620	228.281448
L0F63_002755	-	JAKSZP010000165.1	-	123786	125007	0.000000	0.000000	0.000000
L0F63_002705	-	JAKSZP010000160.1	-	130544	131827	731.204590	276.696014	402.759155
L0F63_002823	-	JAKSZP010000170.1	+	147905	148929	106.821579	40.422482	58.839027
L0F63_002803	-	JAKSZP010000168.1	-	156167	159630	388.670502	147.077271	214.085907
L0F63_002835	-	JAKSZP010000171.1	-	16027	17302	92.729996	35.090069	51.077156
L0F63_002850	arc1	JAKSZP010000172.1	-	2750	4056	376.652649	142.529587	207.466278
L0F63_002877	-	JAKSZP010000174.1	-	54796	58097	236.325195	89.428101	130.171692
L0F63_002902	-	JAKSZP010000176.1	-	117355	120381	477.983521	180.874313	263.280945
L0F63_002932	FBP1	JAKSZP010000179.1	-	145009	146266	557.203979	210.852219	306.916840
L0F63_002942	ppk32	JAKSZP010000180.1	-	116420	119340	141.724762	53.630238	78.064262
L0F63_002949	-	JAKSZP010000181.1	-	125816	131027	188.527603	71.340958	103.844009
L0F63_002976	-	JAKSZP010000184.1	+	71564	72319	34.020493	12.873735	18.739029
L0F63_002954	-	JAKSZP010000181.1	+	151492	154621	223.755142	84.671448	123.247894
L0F63_002998	-	JAKSZP010000187.1	+	991	2063	0.000000	0.000000	0.000000
L0F63_003032	-	JAKSZP010000190.1	+	55818	56018	113.746269	43.042862	62.653259
L0F63_003031	LSC2	JAKSZP010000190.1	-	8691	10343	241.271408	91.299805	132.896133
L0F63_003048	-	JAKSZP010000191.1	+	25238	26609	196.451385	74.339401	108.208557
L0F63_003115	-	JAKSZP010000197.1	-	62319	62391	2.275339	0.861014	1.253293
L0F63_003076	LEM3	JAKSZP010000193.1	-	26467	27194	272.376740	103.070412	150.029449
L0F63_003116	ENO1_1	JAKSZP010000197.1	-	145021	146472	347.688507	131.569214	191.512375
L0F63_003143	SOL1	JAKSZP010000199.1	+	51060	51760	1728.589111	654.117432	952.134399
L0F63_003159	MPP10	JAKSZP010000200.1	+	121541	122925	114.107605	43.179596	62.852291
L0F63_003211	-	JAKSZP010000205.1	-	31445	31517	6.027470	2.280862	3.320027
L0F63_003219	-	JAKSZP010000206.1	-	48517	48590	1.000000	0.378411	0.550816
L0F63_003220	DRS2	JAKSZP010000206.1	-	50136	54405	274.916992	104.031670	151.428665
L0F63_003225	-	JAKSZP010000207.1	+	1306	7214	58.456413	22.120562	32.198723
