Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
L0F63_000001	NOP13	JAKSZP010000001.1	-	56387	57519	51.269981	17.946758	25.751545
L0F63_000004	-	JAKSZP010000001.1	-	411844	411916	1.890411	0.661727	0.949503
L0F63_000002	DBP8	JAKSZP010000001.1	-	172695	174161	99.074638	34.680500	49.762554
L0F63_000079	IST1	JAKSZP010000003.1	-	129945	131226	94.401222	33.044598	47.415218
L0F63_000081	HIR3	JAKSZP010000003.1	-	515641	521055	122.861870	43.007080	61.710247
L0F63_000082	-	JAKSZP010000003.1	-	521150	522467	14.883960	5.210043	7.475817
L0F63_000113	-	JAKSZP010000004.1	-	74574	77281	166.428574	58.257351	83.592644
L0F63_000144	-	JAKSZP010000005.1	-	93255	93642	0.000000	0.000000	0.000000
L0F63_000114	-	JAKSZP010000004.1	+	290368	291813	264.884827	92.721390	133.044601
L0F63_000145	-	JAKSZP010000005.1	-	330890	331865	11.031812	3.861621	5.540985
L0F63_000205	CNS1	JAKSZP010000007.1	-	183195	184494	35.921360	12.574062	18.042343
L0F63_000176	CCT5	JAKSZP010000006.1	+	209380	211356	204.835266	71.701385	102.883293
L0F63_000206	-	JAKSZP010000007.1	-	246953	249378	374.468811	131.080627	188.085709
L0F63_000294	-	JAKSZP010000010.1	-	94790	96363	1019.713440	356.944733	512.174866
L0F63_000296	-	JAKSZP010000010.1	-	238534	239296	0.000000	0.000000	0.000000
L0F63_000402	-	JAKSZP010000014.1	-	66874	70317	56.321243	19.714924	28.288660
L0F63_000427	FPS1_3	JAKSZP010000015.1	+	2961	3809	0.000000	0.000000	0.000000
L0F63_000443	-	JAKSZP010000016.1	+	290416	290489	6.839866	2.394255	3.435483
L0F63_000469	IWS1	JAKSZP010000017.1	-	290835	291872	206.495468	72.282532	103.717178
L0F63_000428	PCK1	JAKSZP010000015.1	+	205482	207116	1822.463257	637.942627	915.374756
L0F63_000497	CHS7_1	JAKSZP010000018.1	-	113453	114391	665.518799	232.960968	334.272369
L0F63_000520	-	JAKSZP010000019.1	+	345910	345983	220.265213	77.102554	110.633354
L0F63_000545	SAP30BP	JAKSZP010000020.1	+	59021	59468	132.575897	46.407417	66.589340
L0F63_000565	STR3	JAKSZP010000021.1	+	68649	70048	165.312714	57.866749	83.032173
L0F63_000606	-	JAKSZP010000023.1	-	199160	199354	0.000000	0.000000	0.000000
L0F63_000607	-	JAKSZP010000023.1	+	199367	202111	73.359138	25.678938	36.846340
L0F63_000608	-	JAKSZP010000023.1	-	289897	289971	0.000000	0.000000	0.000000
L0F63_000633	-	JAKSZP010000024.1	+	55540	57627	231.891678	81.172333	116.473015
L0F63_000659	-	JAKSZP010000025.1	-	211525	211598	0.000000	0.000000	0.000000
L0F63_000658	UGP1	JAKSZP010000025.1	+	113543	115563	519.274292	181.768936	260.817657
L0F63_000713	-	JAKSZP010000028.1	-	199523	201327	3.075728	1.076641	1.544856
L0F63_000732	-	JAKSZP010000029.1	-	52578	52650	3.680685	1.288402	1.848710
L0F63_000690	-	JAKSZP010000027.1	-	256881	259216	242.430084	84.861237	121.766174
L0F63_000733	-	JAKSZP010000029.1	+	198124	201346	26.248901	9.188274	13.184124
L0F63_000742	-	JAKSZP010000030.1	-	277531	280939	10.453116	3.659053	5.250322
L0F63_000792	RHO1_1	JAKSZP010000032.1	-	259332	260003	8.400000	2.940371	4.219096
L0F63_000788	-	JAKSZP010000032.1	+	15254	15929	16.626017	5.819840	8.350805
L0F63_000789	-	JAKSZP010000032.1	-	15945	17457	153.570206	53.756351	77.134224
