Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
L0F63_000001	NOP13	JAKSZP010000001.1	-	56387	57519	28.527290	13.226912	18.644949
L0F63_000002	DBP8	JAKSZP010000001.1	-	172695	174161	20.741306	9.616877	13.556164
L0F63_000079	IST1	JAKSZP010000003.1	-	129945	131226	123.226669	57.135056	80.538849
L0F63_000081	HIR3	JAKSZP010000003.1	-	515641	521055	70.026001	32.468128	45.767799
L0F63_000082	-	JAKSZP010000003.1	-	521150	522467	8.324697	3.859814	5.440879
L0F63_000113	-	JAKSZP010000004.1	-	74574	77281	83.064568	38.513569	54.289581
L0F63_000145	-	JAKSZP010000005.1	-	330890	331865	2.474412	1.147281	1.617233
L0F63_000114	-	JAKSZP010000004.1	+	290368	291813	394.806244	183.055145	258.038605
L0F63_000176	CCT5	JAKSZP010000006.1	+	209380	211356	53.095695	24.618254	34.702438
L0F63_000205	CNS1	JAKSZP010000007.1	-	183195	184494	29.877569	13.852980	19.527470
L0F63_000206	-	JAKSZP010000007.1	-	246953	249378	67.579002	31.333557	44.168480
L0F63_000294	-	JAKSZP010000010.1	-	94790	96363	151.185516	70.098404	98.812271
L0F63_000402	-	JAKSZP010000014.1	-	66874	70317	28.195099	13.072888	18.427835
L0F63_000427	FPS1_3	JAKSZP010000015.1	+	2961	3809	45.361416	21.032190	29.647448
L0F63_000443	-	JAKSZP010000016.1	+	290416	290489	8.385814	3.888151	5.480824
L0F63_000469	IWS1	JAKSZP010000017.1	-	290835	291872	107.728455	49.949181	70.409477
L0F63_000428	PCK1	JAKSZP010000015.1	+	205482	207116	516.832031	239.633408	337.792603
L0F63_000497	CHS7_1	JAKSZP010000018.1	-	113453	114391	331.085785	153.510635	216.392014
L0F63_000545	SAP30BP	JAKSZP010000020.1	+	59021	59468	83.497765	38.714420	54.572716
L0F63_000565	STR3	JAKSZP010000021.1	+	68649	70048	53.549503	24.828665	34.999043
L0F63_000520	-	JAKSZP010000019.1	+	345910	345983	134.418915	62.324429	87.853905
L0F63_000632	-	JAKSZP010000024.1	+	11595	11668	0.000000	0.000000	0.000000
L0F63_000606	-	JAKSZP010000023.1	-	199160	199354	0.000000	0.000000	0.000000
L0F63_000607	-	JAKSZP010000023.1	+	199367	202111	169.493759	78.587166	110.778229
L0F63_000633	-	JAKSZP010000024.1	+	55540	57627	86.121338	39.930866	56.287434
L0F63_000658	UGP1	JAKSZP010000025.1	+	113543	115563	166.651535	77.269348	108.920601
L0F63_000713	-	JAKSZP010000028.1	-	199523	201327	1.898382	0.880200	1.240750
L0F63_000732	-	JAKSZP010000029.1	-	52578	52650	4.487326	2.080585	2.932840
L0F63_000690	-	JAKSZP010000027.1	-	256881	259216	89.190308	41.353817	58.293259
L0F63_000733	-	JAKSZP010000029.1	+	198124	201346	7.981482	3.700680	5.216560
L0F63_000742	-	JAKSZP010000030.1	-	277531	280939	14.016802	6.499005	9.161142
L0F63_000790	-	JAKSZP010000032.1	+	61276	61350	0.000000	0.000000	0.000000
L0F63_000792	RHO1_1	JAKSZP010000032.1	-	259332	260003	1.239316	0.574619	0.809996
L0F63_000788	-	JAKSZP010000032.1	+	15254	15929	6.351626	2.944983	4.151314
L0F63_000789	-	JAKSZP010000032.1	-	15945	17457	40.619293	18.833469	26.548075
L0F63_000809	-	JAKSZP010000033.1	-	76327	76927	318.350159	147.605652	208.068222
L0F63_000810	MID1_1	JAKSZP010000033.1	+	156298	157448	53.759335	24.925957	35.136185
L0F63_000811	MID1_2	JAKSZP010000033.1	+	288423	290064	41.337460	19.166451	27.017458
L0F63_000832	MYO2	JAKSZP010000034.1	-	192608	197549	141.763275	65.729706	92.654060
L0F63_000874	-	JAKSZP010000036.1	+	263270	264053	14.461111	6.705013	9.451535
L0F63_000852	RHO1_2	JAKSZP010000035.1	+	60749	61474	1677.236450	777.664429	1096.213135
L0F63_000853	-	JAKSZP010000035.1	-	268807	273597	64.733170	30.014063	42.308495
L0F63_000983	-	JAKSZP010000042.1	+	281391	281463	14.717130	6.823718	9.618865
L0F63_000933	SEC17	JAKSZP010000039.1	-	190894	191972	355.642120	164.896378	232.441605
L0F63_001015	-	JAKSZP010000044.1	-	190888	191541	0.000000	0.000000	0.000000
L0F63_001014	-	JAKSZP010000044.1	-	25037	25880	71.353844	33.083794	46.635651
L0F63_001056	-	JAKSZP010000046.1	+	6708	7728	87.059311	40.365761	56.900478
L0F63_001057	-	JAKSZP010000046.1	+	7777	11883	134.282486	62.261173	87.764732
L0F63_001058	-	JAKSZP010000046.1	-	158707	161271	146.160675	67.768593	95.528122
L0F63_001071	SEC4	JAKSZP010000047.1	+	169314	170068	201.279037	93.324677	131.552536
L0F63_001158	-	JAKSZP010000052.1	+	134301	138890	20.484529	9.497820	13.388339
L0F63_001176	-	JAKSZP010000053.1	+	14197	14482	31.241259	14.485266	20.418753
L0F63_001177	-	JAKSZP010000053.1	+	14553	17838	30.269737	14.034811	19.783783
L0F63_001178	-	JAKSZP010000053.1	+	208311	210170	16.727327	7.755763	10.932695
L0F63_001179	-	JAKSZP010000053.1	+	225162	225234	7.888130	3.657396	5.155547
L0F63_001159	-	JAKSZP010000052.1	+	216229	218288	317.730804	147.318497	207.663437
L0F63_001190	-	JAKSZP010000054.1	-	15	916	109.178490	50.621498	71.357193
L0F63_001205	-	JAKSZP010000055.1	-	179117	180326	413.806610	191.864822	270.456940
L0F63_001228	-	JAKSZP010000056.1	-	92430	92502	1.652967	0.766412	1.080351
L0F63_001258	PKP2	JAKSZP010000058.1	+	100696	102072	100.414253	46.557888	65.629044
L0F63_001227	PWP2	JAKSZP010000056.1	+	14787	22907	124.036575	57.510574	81.068184
L0F63_001303	-	JAKSZP010000060.1	+	104276	105212	0.000000	0.000000	0.000000
L0F63_001259	-	JAKSZP010000058.1	-	249126	249988	349.000000	161.816711	228.100433
L0F63_001325	GPS1	JAKSZP010000061.1	+	204600	204869	95.532051	44.294216	62.438114
L0F63_001445	-	JAKSZP010000069.1	+	8808	9300	0.000000	0.000000	0.000000
L0F63_001370	-	JAKSZP010000064.1	+	240778	242271	196.446533	91.084045	128.394089
L0F63_001474	-	JAKSZP010000071.1	-	75346	80641	0.000000	0.000000	0.000000
L0F63_001457	VMA8	JAKSZP010000070.1	+	71953	73043	475.849762	220.631638	311.007263
L0F63_001518	NOP4	JAKSZP010000073.1	-	6713	9855	47.986668	22.249411	31.363266
L0F63_001492	-	JAKSZP010000072.1	+	136552	137361	678.606934	314.641663	443.525879
L0F63_001493	-	JAKSZP010000072.1	+	137381	137852	818.923584	379.700623	535.234497
L0F63_001494	MYL9	JAKSZP010000072.1	-	232515	233396	508.476196	235.759155	332.331360
L0F63_001519	-	JAKSZP010000073.1	+	149918	152575	318.334900	147.598572	208.058258
L0F63_001612	-	JAKSZP010000079.1	+	218810	221584	63.860691	29.609531	41.738258
L0F63_001611	-	JAKSZP010000079.1	-	65806	72635	93.045883	43.141483	60.813198
L0F63_001631	-	JAKSZP010000080.1	+	72829	74452	475.519257	220.478394	310.791260
L0F63_001672	MIA40	JAKSZP010000082.1	-	20111	20299	33.936508	15.734941	22.180323
L0F63_001632	-	JAKSZP010000080.1	-	208496	211029	109.599716	50.816807	71.632507
L0F63_001673	ORC3	JAKSZP010000082.1	-	183130	186127	36.172825	16.771826	23.641939
L0F63_001743	-	JAKSZP010000086.1	-	14269	14532	0.000000	0.000000	0.000000
L0F63_001744	-	JAKSZP010000086.1	+	188391	191186	124.228523	57.599571	81.193642
L0F63_001806	-	JAKSZP010000090.1	+	111324	111861	129.289032	59.945919	84.501106
L0F63_001896	-	JAKSZP010000097.1	+	38396	39483	1.305475	0.605294	0.853236
L0F63_001869	-	JAKSZP010000095.1	+	34025	37245	22.735018	10.541277	14.859220
L0F63_001926	-	JAKSZP010000099.1	-	156572	157962	57.206348	26.524193	37.389091
L0F63_001995	-	JAKSZP010000104.1	+	15760	16000	30.701242	14.234882	20.065807
L0F63_001966	-	JAKSZP010000102.1	-	3512	3994	142.643890	66.138008	93.229607
L0F63_002024	-	JAKSZP010000106.1	-	113760	114569	42.373219	19.646690	27.694412
L0F63_002103	-	JAKSZP010000112.1	+	76066	76138	2.201052	1.020536	1.438570
L0F63_002141	MIC10	JAKSZP010000115.1	-	39090	39459	129.274078	59.938984	84.491333
L0F63_002077	-	JAKSZP010000110.1	-	113817	115040	652.058411	302.332214	426.174255
L0F63_002202	-	JAKSZP010000119.1	+	185526	187324	258.365814	119.793427	168.863480
L0F63_002220	-	JAKSZP010000120.1	-	126919	128375	137.994873	63.982456	90.191093
L0F63_002294	-	JAKSZP010000126.1	+	177886	177961	8.835526	4.096664	5.774749
L0F63_002250	RMD1	JAKSZP010000122.1	-	159239	161037	543.411194	251.957062	355.164276
L0F63_002251	TIF6	JAKSZP010000122.1	+	161418	162509	497.902313	230.856491	325.420441
L0F63_002372	-	JAKSZP010000132.1	-	51631	52472	0.000000	0.000000	0.000000
L0F63_002332	ypt1	JAKSZP010000129.1	+	18930	19394	1388.060547	643.585632	907.212646
L0F63_002406	-	JAKSZP010000135.1	+	157381	159452	46.389603	21.508921	30.319452
L0F63_002441	dpp5	JAKSZP010000138.1	-	116431	118731	13.728598	6.365377	8.972777
L0F63_002453	-	JAKSZP010000139.1	+	71233	72844	164.504898	76.274040	107.517593
L0F63_002454	-	JAKSZP010000139.1	-	118163	120456	112.239861	52.040932	73.358055
L0F63_002467	-	JAKSZP010000140.1	+	96965	97817	249.108109	115.501007	162.812805
L0F63_002480	-	JAKSZP010000141.1	-	150557	150630	0.000000	0.000000	0.000000
L0F63_002500	-	JAKSZP010000143.1	+	84528	84602	2.193333	1.016957	1.433525
L0F63_002560	-	JAKSZP010000148.1	-	79106	79179	18.949970	8.786308	12.385377
L0F63_002468	-	JAKSZP010000140.1	+	147071	148245	2409.047852	1116.974731	1574.512451
L0F63_002594	LST8	JAKSZP010000151.1	+	45201	45765	100.836555	46.753696	65.905045
L0F63_002616	-	JAKSZP010000153.1	-	122044	124091	37.457142	17.367310	24.481346
L0F63_002573	HGT20	JAKSZP010000149.1	-	139225	140722	948.479492	439.770294	619.909973
L0F63_002668	MPE1	JAKSZP010000157.1	-	9757	12844	166.864929	77.368286	109.060066
L0F63_002693	-	JAKSZP010000159.1	+	463	1713	190.069260	88.127167	124.226028
L0F63_002669	-	JAKSZP010000157.1	+	20878	23733	309.360657	143.437607	202.192856
L0F63_002704	-	JAKSZP010000160.1	+	18804	21358	158.862106	73.657715	103.829567
L0F63_002755	-	JAKSZP010000165.1	-	123786	125007	6.007326	2.785346	3.926286
L0F63_002705	-	JAKSZP010000160.1	-	130544	131827	631.907166	292.988922	413.003723
L0F63_002823	-	JAKSZP010000170.1	+	147905	148929	63.380341	29.386814	41.424309
L0F63_002835	-	JAKSZP010000171.1	-	16027	17302	30.961508	14.355556	20.235912
L0F63_002803	-	JAKSZP010000168.1	-	156167	159630	117.735046	54.588818	76.949615
L0F63_002865	-	JAKSZP010000173.1	-	144381	144459	0.000000	0.000000	0.000000
L0F63_002850	arc1	JAKSZP010000172.1	-	2750	4056	224.749771	104.207069	146.892609
L0F63_002877	-	JAKSZP010000174.1	-	54796	58097	227.349579	105.412491	148.591812
L0F63_002902	-	JAKSZP010000176.1	-	117355	120381	200.889359	93.143990	131.297852
L0F63_002932	FBP1	JAKSZP010000179.1	-	145009	146266	150.054733	69.574104	98.073212
L0F63_002942	ppk32	JAKSZP010000180.1	-	116420	119340	68.281883	31.659454	44.627872
L0F63_002952	TOP2_15	JAKSZP010000181.1	-	146078	147786	0.000000	0.000000	0.000000
L0F63_002953	-	JAKSZP010000181.1	-	147966	148439	0.000000	0.000000	0.000000
L0F63_002949	-	JAKSZP010000181.1	-	125816	131027	64.471802	29.892879	42.137669
L0F63_002976	-	JAKSZP010000184.1	+	71564	72319	8.728142	4.046875	5.704565
L0F63_002998	-	JAKSZP010000187.1	+	991	2063	27.607489	12.800438	18.043783
L0F63_002954	-	JAKSZP010000181.1	+	151492	154621	202.985687	94.115974	132.667969
L0F63_003031	LSC2	JAKSZP010000190.1	-	8691	10343	191.009552	88.563141	124.840584
L0F63_003032	-	JAKSZP010000190.1	+	55818	56018	289.636810	134.292480	189.301666
L0F63_003048	-	JAKSZP010000191.1	+	25238	26609	98.544273	45.690857	64.406853
L0F63_003115	-	JAKSZP010000197.1	-	62319	62391	1.339042	0.620858	0.875175
L0F63_003076	LEM3	JAKSZP010000193.1	-	26467	27194	223.153641	103.467010	145.849411
L0F63_003116	ENO1_1	JAKSZP010000197.1	-	145021	146472	220.716095	102.336823	144.256271
L0F63_003159	MPP10	JAKSZP010000200.1	+	121541	122925	35.784790	16.591911	23.388329
L0F63_003211	-	JAKSZP010000205.1	-	31445	31517	3.817616	1.770069	2.495129
L0F63_003143	SOL1	JAKSZP010000199.1	+	51060	51760	1362.907349	631.923157	890.773010
L0F63_003220	DRS2	JAKSZP010000206.1	-	50136	54405	223.329102	103.548370	145.964081
L0F63_003225	-	JAKSZP010000207.1	+	1306	7214	35.569309	16.492001	23.247492
L0F63_003254	VAM6	JAKSZP010000210.1	+	15827	18852	44.888889	20.813101	29.338610
L0F63_003265	-	JAKSZP010000211.1	+	56129	56786	17.753223	8.231427	11.603204
L0F63_003255	ATG20	JAKSZP010000210.1	+	128757	130737	120.965324	56.086563	79.060875
L0F63_003316	ORC6	JAKSZP010000216.1	+	8691	10250	96.714622	44.842525	63.211025
L0F63_003335	-	JAKSZP010000218.1	+	48973	49049	0.000000	0.000000	0.000000
L0F63_003324	UBP2	JAKSZP010000217.1	-	53156	56738	32.721596	15.171636	21.386276
L0F63_003456	-	JAKSZP010000231.1	+	78117	78986	337.113129	156.305252	220.331375
L0F63_003410	-	JAKSZP010000225.1	-	19313	21308	683.706604	317.006165	446.858978
L0F63_003473	-	JAKSZP010000232.1	-	103827	108971	16.223919	7.522353	10.603677
L0F63_003502	-	JAKSZP010000234.1	+	39264	40498	54.219269	25.139208	35.436787
L0F63_003534	cdc17	JAKSZP010000237.1	-	47520	50261	26.758991	12.407025	17.489220
L0F63_003543	-	JAKSZP010000238.1	+	115781	115857	8.956491	4.152750	5.853809
L0F63_003567	TOP2_18	JAKSZP010000241.1	+	80629	83013	11.510229	5.336812	7.522889
L0F63_003535	GCN20	JAKSZP010000237.1	+	71069	73482	226.065720	104.817223	147.752686
L0F63_003714	-	JAKSZP010000258.1	+	79922	81413	11.277305	5.228815	7.370654
L0F63_003712	EEF1A1	JAKSZP010000258.1	-	45538	46111	493.278748	228.712738	322.398560
L0F63_003713	-	JAKSZP010000258.1	-	46370	46908	490.266235	227.315948	320.429626
L0F63_003723	HSP82	JAKSZP010000259.1	-	37222	39345	193.404419	89.673546	126.405823
L0F63_003731	TOP1	JAKSZP010000260.1	-	39571	42590	61.400795	28.468981	40.130512
L0F63_003738	ADP1	JAKSZP010000261.1	+	99360	102357	109.985146	50.995514	71.884415
L0F63_003755	-	JAKSZP010000262.1	-	63126	63412	80.072578	37.126308	52.334068
L0F63_003780	-	JAKSZP010000265.1	-	47378	48019	121.421417	56.298031	79.358963
L0F63_003754	SFB3	JAKSZP010000262.1	-	11951	17394	177.884354	82.477531	116.262177
L0F63_003798	-	JAKSZP010000267.1	+	89561	89634	1.907658	0.884501	1.246813
L0F63_003797	-	JAKSZP010000267.1	-	56724	57945	107.984344	50.067825	70.576721
L0F63_003825	PBP2_1	JAKSZP010000270.1	-	14400	16085	140.361725	65.079865	91.738029
L0F63_003876	NEP1	JAKSZP010000276.1	-	28541	29511	63.619835	29.497856	41.580837
L0F63_003877	KEX2_3	JAKSZP010000276.1	+	47582	50322	149.357956	69.251038	97.617805
L0F63_003890	-	JAKSZP010000278.1	+	97324	97397	4.464190	2.069858	2.917718
L0F63_003889	-	JAKSZP010000278.1	+	8651	9270	2149.991699	996.861267	1405.197876
L0F63_003896	ENO1_2	JAKSZP010000279.1	-	33677	35128	246.900391	114.477386	161.369873
L0F63_003933	-	JAKSZP010000283.1	-	52002	52515	3.483222	1.615024	2.276574
