Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
L0F63_000001	NOP13	JAKSZP010000001.1	-	56387	57519	2.129630	2.179602	2.843302
L0F63_000002	DBP8	JAKSZP010000001.1	-	172695	174161	2.196777	2.248324	2.932951
L0F63_000079	IST1	JAKSZP010000003.1	-	129945	131226	65.768486	67.311737	87.808517
L0F63_000081	HIR3	JAKSZP010000003.1	-	515641	521055	22.242867	22.764793	29.696791
L0F63_000082	-	JAKSZP010000003.1	-	521150	522467	3.164076	3.238321	4.224406
L0F63_000113	-	JAKSZP010000004.1	-	74574	77281	24.385796	24.958006	32.557850
L0F63_000144	-	JAKSZP010000005.1	-	93255	93642	0.000000	0.000000	0.000000
L0F63_000145	-	JAKSZP010000005.1	-	330890	331865	0.000000	0.000000	0.000000
L0F63_000176	CCT5	JAKSZP010000006.1	+	209380	211356	8.917149	9.126389	11.905422
L0F63_000205	CNS1	JAKSZP010000007.1	-	183195	184494	9.070599	9.283439	12.110295
L0F63_000114	-	JAKSZP010000004.1	+	290368	291813	260.655365	266.771606	348.004974
L0F63_000206	-	JAKSZP010000007.1	-	246953	249378	25.065378	25.653534	33.465172
L0F63_000294	-	JAKSZP010000010.1	-	94790	96363	9.932655	10.165724	13.261240
L0F63_000402	-	JAKSZP010000014.1	-	66874	70317	8.876143	9.084421	11.850675
L0F63_000427	FPS1_3	JAKSZP010000015.1	+	2961	3809	109.293037	111.857582	145.918808
L0F63_000443	-	JAKSZP010000016.1	+	290416	290489	6.443696	6.594897	8.603077
L0F63_000428	PCK1	JAKSZP010000015.1	+	205482	207116	112.301407	114.936546	149.935333
L0F63_000469	IWS1	JAKSZP010000017.1	-	290835	291872	66.507935	68.068535	88.795761
L0F63_000497	CHS7_1	JAKSZP010000018.1	-	113453	114391	108.357742	110.900337	144.670090
L0F63_000520	-	JAKSZP010000019.1	+	345910	345983	103.594597	106.025436	138.310730
L0F63_000545	SAP30BP	JAKSZP010000020.1	+	59021	59468	58.104912	59.468334	77.576759
L0F63_000565	STR3	JAKSZP010000021.1	+	68649	70048	24.530527	25.106133	32.751083
L0F63_000606	-	JAKSZP010000023.1	-	199160	199354	0.000000	0.000000	0.000000
L0F63_000607	-	JAKSZP010000023.1	+	199367	202111	64.369461	65.879883	85.940651
L0F63_000633	-	JAKSZP010000024.1	+	55540	57627	32.630447	33.396118	43.565411
L0F63_000658	UGP1	JAKSZP010000025.1	+	113543	115563	21.708820	22.218216	28.983778
L0F63_000713	-	JAKSZP010000028.1	-	199523	201327	1.505502	1.540828	2.010019
L0F63_000690	-	JAKSZP010000027.1	-	256881	259216	28.351337	29.016598	37.852306
L0F63_000732	-	JAKSZP010000029.1	-	52578	52650	0.000000	0.000000	0.000000
L0F63_000733	-	JAKSZP010000029.1	+	198124	201346	0.000000	0.000000	0.000000
L0F63_000742	-	JAKSZP010000030.1	-	277531	280939	6.137670	6.281690	8.194497
L0F63_000790	-	JAKSZP010000032.1	+	61276	61350	0.000000	0.000000	0.000000
