Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
L0F63_000001	NOP13	JAKSZP010000001.1	-	56387	57519	9.752437	7.177783	10.355889
L0F63_000002	DBP8	JAKSZP010000001.1	-	172695	174161	6.722222	4.947548	7.138174
L0F63_000079	IST1	JAKSZP010000003.1	-	129945	131226	81.694542	60.127094	86.749565
L0F63_000081	HIR3	JAKSZP010000003.1	-	515641	521055	29.978439	22.064100	31.833418
L0F63_000082	-	JAKSZP010000003.1	-	521150	522467	5.611399	4.129984	5.958616
L0F63_000113	-	JAKSZP010000004.1	-	74574	77281	39.360371	28.969191	41.795876
L0F63_000114	-	JAKSZP010000004.1	+	290368	291813	253.763779	186.769867	269.465942
L0F63_000145	-	JAKSZP010000005.1	-	330890	331865	0.000000	0.000000	0.000000
L0F63_000176	CCT5	JAKSZP010000006.1	+	209380	211356	18.299936	13.468734	19.432283
L0F63_000205	CNS1	JAKSZP010000007.1	-	183195	184494	7.676050	5.649565	8.151022
L0F63_000206	-	JAKSZP010000007.1	-	246953	249378	53.604259	39.452679	56.921135
L0F63_000294	-	JAKSZP010000010.1	-	94790	96363	13.445362	9.895772	14.277322
L0F63_000402	-	JAKSZP010000014.1	-	66874	70317	20.012419	14.729119	21.250729
L0F63_000427	FPS1_3	JAKSZP010000015.1	+	2961	3809	9.700854	7.139819	10.301115
L0F63_000428	PCK1	JAKSZP010000015.1	+	205482	207116	224.976700	165.582611	238.897614
L0F63_000443	-	JAKSZP010000016.1	+	290416	290489	10.398790	7.653499	11.042237
L0F63_000469	IWS1	JAKSZP010000017.1	-	290835	291872	108.704079	80.006088	115.430374
L0F63_000497	CHS7_1	JAKSZP010000018.1	-	113453	114391	169.962341	125.092102	180.479111
L0F63_000520	-	JAKSZP010000019.1	+	345910	345983	88.037872	64.795784	93.485397
L0F63_000545	SAP30BP	JAKSZP010000020.1	+	59021	59468	55.319195	40.714870	58.742188
L0F63_000565	STR3	JAKSZP010000021.1	+	68649	70048	37.990101	27.960674	40.340816
L0F63_000606	-	JAKSZP010000023.1	-	199160	199354	0.000000	0.000000	0.000000
L0F63_000607	-	JAKSZP010000023.1	+	199367	202111	196.397415	144.548294	208.549911
L0F63_000633	-	JAKSZP010000024.1	+	55540	57627	51.783997	38.112965	54.988239
L0F63_000659	-	JAKSZP010000025.1	-	211525	211598	0.000000	0.000000	0.000000
L0F63_000658	UGP1	JAKSZP010000025.1	+	113543	115563	83.883270	61.737999	89.073723
L0F63_000713	-	JAKSZP010000028.1	-	199523	201327	3.821683	2.812755	4.058157
L0F63_000690	-	JAKSZP010000027.1	-	256881	259216	43.890965	32.303703	46.606808
L0F63_000732	-	JAKSZP010000029.1	-	52578	52650	1.235964	0.909668	1.312442
L0F63_000733	-	JAKSZP010000029.1	+	198124	201346	1.976460	1.454672	2.098758
L0F63_000742	-	JAKSZP010000030.1	-	277531	280939	11.233604	8.267921	11.928707
L0F63_000788	-	JAKSZP010000032.1	+	15254	15929	3.554878	2.616386	3.774843
